random_idx	input_sentence1	input_sentence2	input_sentence3	input_sentence4	candidate_sentence1	candidate_sentence2	label
772014	SCENE. Livingroom of James Tyrone* s summer home on a morning in August^ 191 ^* 	At rear are two double doorways with portiires. The one at right leads into a front parlour with the formally arranged^ set appearance of a room rarely occupied. The other opens on a dark^ windowless back parlour^ never used except as a passage from livingroom to diningroom. Against the wall between the doorways is a small bookcase^ with a picture of Shakespeare above it^ containing novels by Balzac^ Z^la^ 	Stendhal^ philosophical and sociological jjoorks by Schopenhauer^ Nietzsche^ Marx^ Engels^ Kropotkin^ Max Sterner^ plays by Ibsen, Shaw, Strindberg, poetry by Swinburne, Rossetti, Wilde, Ernest Dowson, Kipling,etc. 	In the nght wall, rear, is a screen door leading out on the porch which extends halfway around the house. Farther forward, a senes of three windows looks over the front lawn to the harbour and the avenue that runs along the water front A small wicker table and an ordinary oak desk are against the wall, flanking the windows. 	In the left wall, a similar senes of windows looks out on the grounds behind the house. Beneath them is a wicker couch with cushions, its head toward rear. Farther back is a large, glassedin bookcase with sets of Dumas, Victor Hugo, 	TYRONE {trying to speak naturally). Yes, I spoke too soon. 	1
711119	At rear are two double doorways with portiires. The one at right leads into a front parlour with the formally arranged^ set appearance of a room rarely occupied. The other opens on a dark^ windowless back parlour^ never used except as a passage from livingroom to diningroom. Against the wall between the doorways is a small bookcase^ with a picture of Shakespeare above it^ containing novels by Balzac^ Z^la^ 	Stendhal^ philosophical and sociological jjoorks by Schopenhauer^ Nietzsche^ Marx^ Engels^ Kropotkin^ Max Sterner^ plays by Ibsen, Shaw, Strindberg, poetry by Swinburne, Rossetti, Wilde, Ernest Dowson, Kipling,etc. 	In the nght wall, rear, is a screen door leading out on the porch which extends halfway around the house. Farther forward, a senes of three windows looks over the front lawn to the harbour and the avenue that runs along the water front A small wicker table and an ordinary oak desk are against the wall, flanking the windows. 	In the left wall, a similar senes of windows looks out on the grounds behind the house. Beneath them is a wicker couch with cushions, its head toward rear. Farther back is a large, glassedin bookcase with sets of Dumas, Victor Hugo, 	TYRONE. No. You’d get it crooked, as you get everything else. 	Charles Lever, three sets of Shakespeare, The World* s Best 	2
533732	Stendhal^ philosophical and sociological jjoorks by Schopenhauer^ Nietzsche^ Marx^ Engels^ Kropotkin^ Max Sterner^ plays by Ibsen, Shaw, Strindberg, poetry by Swinburne, Rossetti, Wilde, Ernest Dowson, Kipling,etc. 	In the nght wall, rear, is a screen door leading out on the porch which extends halfway around the house. Farther forward, a senes of three windows looks over the front lawn to the harbour and the avenue that runs along the water front A small wicker table and an ordinary oak desk are against the wall, flanking the windows. 	In the left wall, a similar senes of windows looks out on the grounds behind the house. Beneath them is a wicker couch with cushions, its head toward rear. Farther back is a large, glassedin bookcase with sets of Dumas, Victor Hugo, 	Charles Lever, three sets of Shakespeare, The World* s Best 	Literature in fifty large volumes, Hume* s History of England, Thiers* History of the Consulate and Empire, Smollett*s History of England, Gibbon*s Roman Empire and 	MARY {goes on as if she hadn't heard. In nearly all the following dialogue there is the feeling that she has Cathleen mth her merely as an excuse to keep talking). I don’t mind it tonight 	1
454876	In the nght wall, rear, is a screen door leading out on the porch which extends halfway around the house. Farther forward, a senes of three windows looks over the front lawn to the harbour and the avenue that runs along the water front A small wicker table and an ordinary oak desk are against the wall, flanking the windows. 	In the left wall, a similar senes of windows looks out on the grounds behind the house. Beneath them is a wicker couch with cushions, its head toward rear. Farther back is a large, glassedin bookcase with sets of Dumas, Victor Hugo, 	Charles Lever, three sets of Shakespeare, The World* s Best 	Literature in fifty large volumes, Hume* s History of England, Thiers* History of the Consulate and Empire, Smollett*s History of England, Gibbon*s Roman Empire and 	'miscellaneous volumes of old plays, poetry, and several hstones of Ireland. The astonishing thing about these sets is that all the volumes have the look of hewing been read and reread. 	MARY {goes on as if nothing had been said). It’s hard to beheve, seeing Jamie as he is now, that he was ever my baby. 	1
883523	In the left wall, a similar senes of windows looks out on the grounds behind the house. Beneath them is a wicker couch with cushions, its head toward rear. Farther back is a large, glassedin bookcase with sets of Dumas, Victor Hugo, 	Charles Lever, three sets of Shakespeare, The World* s Best 	Literature in fifty large volumes, Hume* s History of England, Thiers* History of the Consulate and Empire, Smollett*s History of England, Gibbon*s Roman Empire and 	'miscellaneous volumes of old plays, poetry, and several hstones of Ireland. The astonishing thing about these sets is that all the volumes have the look of hewing been read and reread. 	The hardwood floor is nearly covered by a rug^ inoffensive in design and colour At centre is a round table with a greenshaded reading lamp^ the cord plugged in one of the four sockets in the chandelier above. Around the table within readinglight range are four chairs^ three of them wicker armchairs^ the fourth {at right front of table) a varnished oak rocker with leather bottom. 	CATHLEEN. They say it’s good for the complexion. 	1
275990	Charles Lever, three sets of Shakespeare, The World* s Best 	Literature in fifty large volumes, Hume* s History of England, Thiers* History of the Consulate and Empire, Smollett*s History of England, Gibbon*s Roman Empire and 	'miscellaneous volumes of old plays, poetry, and several hstones of Ireland. The astonishing thing about these sets is that all the volumes have the look of hewing been read and reread. 	The hardwood floor is nearly covered by a rug^ inoffensive in design and colour At centre is a round table with a greenshaded reading lamp^ the cord plugged in one of the four sockets in the chandelier above. Around the table within readinglight range are four chairs^ three of them wicker armchairs^ the fourth {at right front of table) a varnished oak rocker with leather bottom. 	Edmund.) 	It IS about 8.30. Sunshine comes through the windows at nght. 	2
979670	Literature in fifty large volumes, Hume* s History of England, Thiers* History of the Consulate and Empire, Smollett*s History of England, Gibbon*s Roman Empire and 	'miscellaneous volumes of old plays, poetry, and several hstones of Ireland. The astonishing thing about these sets is that all the volumes have the look of hewing been read and reread. 	The hardwood floor is nearly covered by a rug^ inoffensive in design and colour At centre is a round table with a greenshaded reading lamp^ the cord plugged in one of the four sockets in the chandelier above. Around the table within readinglight range are four chairs^ three of them wicker armchairs^ the fourth {at right front of table) a varnished oak rocker with leather bottom. 	It IS about 8.30. Sunshine comes through the windows at nght. 	EDMUND. I heard you, and as far as I’m concerned it stays on. 	Mary is fiftyfour, about medium height She still has a young, graceful figure, a tnfie plump, but showing little evidence of middleaged waist and hips, although she is not tightly corseted Her face is distinctly Irish in type. It must once have been extremely pretty, and is still striking It does not match her healthy figure but is thin and pale with the bone structure prominent Her nose is long and straight, her mouth wide with full, sensitive lips. She uses no rouge or any sort of makeup Her high forehead is framed by thick, pure white hair. Accentuated by her pallor and white hair, her dark brown eyes appear black. They are unusually large and beautiful, with black brows and long curling lashes. 	2
24771	'miscellaneous volumes of old plays, poetry, and several hstones of Ireland. The astonishing thing about these sets is that all the volumes have the look of hewing been read and reread. 	The hardwood floor is nearly covered by a rug^ inoffensive in design and colour At centre is a round table with a greenshaded reading lamp^ the cord plugged in one of the four sockets in the chandelier above. Around the table within readinglight range are four chairs^ three of them wicker armchairs^ the fourth {at right front of table) a varnished oak rocker with leather bottom. 	It IS about 8.30. Sunshine comes through the windows at nght. 	Mary is fiftyfour, about medium height She still has a young, graceful figure, a tnfie plump, but showing little evidence of middleaged waist and hips, although she is not tightly corseted Her face is distinctly Irish in type. It must once have been extremely pretty, and is still striking It does not match her healthy figure but is thin and pale with the bone structure prominent Her nose is long and straight, her mouth wide with full, sensitive lips. She uses no rouge or any sort of makeup Her high forehead is framed by thick, pure white hair. Accentuated by her pallor and white hair, her dark brown eyes appear black. They are unusually large and beautiful, with black brows and long curling lashes. 	What strikes one immediately is her extreme nervousness. 	{Staring before him.) The fog was where I wanted to be. 	1
302300	The hardwood floor is nearly covered by a rug^ inoffensive in design and colour At centre is a round table with a greenshaded reading lamp^ the cord plugged in one of the four sockets in the chandelier above. Around the table within readinglight range are four chairs^ three of them wicker armchairs^ the fourth {at right front of table) a varnished oak rocker with leather bottom. 	It IS about 8.30. Sunshine comes through the windows at nght. 	Mary is fiftyfour, about medium height She still has a young, graceful figure, a tnfie plump, but showing little evidence of middleaged waist and hips, although she is not tightly corseted Her face is distinctly Irish in type. It must once have been extremely pretty, and is still striking It does not match her healthy figure but is thin and pale with the bone structure prominent Her nose is long and straight, her mouth wide with full, sensitive lips. She uses no rouge or any sort of makeup Her high forehead is framed by thick, pure white hair. Accentuated by her pallor and white hair, her dark brown eyes appear black. They are unusually large and beautiful, with black brows and long curling lashes. 	What strikes one immediately is her extreme nervousness. 	Her hands are never still. They were once beautiful hands, with long, tapenng fingers, but rheumatism has knotted the joints and warped the fingers, so that now they have an ugly crippled look. One avoids looking at them, the more so became one u consmus she is sensitive about their appearance and humxhated by her inability to control the nervousness which draws attention to them. 	Cheshire cats wljen you came in** What was the joke? 	1
753486	It IS about 8.30. Sunshine comes through the windows at nght. 	Mary is fiftyfour, about medium height She still has a young, graceful figure, a tnfie plump, but showing little evidence of middleaged waist and hips, although she is not tightly corseted Her face is distinctly Irish in type. It must once have been extremely pretty, and is still striking It does not match her healthy figure but is thin and pale with the bone structure prominent Her nose is long and straight, her mouth wide with full, sensitive lips. She uses no rouge or any sort of makeup Her high forehead is framed by thick, pure white hair. Accentuated by her pallor and white hair, her dark brown eyes appear black. They are unusually large and beautiful, with black brows and long curling lashes. 	What strikes one immediately is her extreme nervousness. 	Her hands are never still. They were once beautiful hands, with long, tapenng fingers, but rheumatism has knotted the joints and warped the fingers, so that now they have an ugly crippled look. One avoids looking at them, the more so became one u consmus she is sensitive about their appearance and humxhated by her inability to control the nervousness which draws attention to them. 	Never wanted you succeed and make me look even worse by comparison. Wanted you to fail. Always jealous of you Mama’s baby. Papa’s pet' {He stares at Edmund mth increasing enmity.) And it was your being bom that started 	She is dressed simply but with a sure sense of what bedurmtu^ her. Her hair is arranged with fastidious care. Her voice is soft cmd attractive. When she is merry, there is a touch of 	2
